Artist Name,Track Name,Popularity,Danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,class
Johnny Cash,Ring of Fire,71,0.659,0.585,-9,1,0.0288,0.623,0.000213,0.348,0.784,104.111,1.58427,4,10
Fozzy,Judas,62,0.5,0.907,-4,1,0.0584,0.000101,0.000433,0.346,0.473,99.17,2.50793,4,8
girl in red,Serotonin,77,0.58,0.788,-5,1,0.259,0.0123,1.84e-05,0.368,0.72,148.992,1.82426,4,1
Alien Ant Farm,Movies,60,0.55,0.934,-6,1,0.0595,0.000113,0.000736,0.18,0.527,112.846,1.95707,4,10
Clawfinger,Nigger,41,0.568,0.993,-4,1,0.0773,0.0257,0.03,0.232,0.608,94.992,2.27747,4,8
COWBOY BOY,PET,22,0.5,0.827,-10,1,0.0699,4.17e-05,3.79e-05,0.253,0.558,85.017,1.80359,4,10
flora cash,Soul Mate,61,0.5,0.371,-12,1,0.0351,0.768,0.00181,0.119,0.305,129.842,3.96301667e-05,4,0
Taj Mahal,Leaving Trunk,56,0.542,0.502,-11,0,0.0515,0.195,0.00812,0.174,0.948,174.11,2.8956,4,2
Marika Hackman,Between the Bars,32,0.5,0.26,-13,0,0.0349,0.932,0.00686,0.123,0.154,84.393,1.55853,4,6
Walk Through Fire,Yola,38,0.597,0.576,-6,1,0.0259,0.623,1.14e-06,0.109,0.754,112.436,3.792583333e-05,4,0
Britney Spears,From the Bottom of My Broken Heart,55,0.677,0.665,-6,1,0.0305,0.56,1.01e-06,0.338,0.706,74.981,5.208883333e-05,4,9
Luke Bryan,Rain Is A Good Thing,66,0.622,0.932,-5,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051,2.936e-05,4,4
Danzig,Her Black Wings,43,0.585,0.671,-11,1,0.0466,0.0118,8.12e-05,0.104,0.49,146.287,2.8724,4,10
Bodysnatcher,Break The Cycle,39,0.5,0.921,-4,1,0.153,0.00051,0.0059,0.0626,0.165,100.662,2.35239,4,8
Red Handed Denial,Empire,39,0.5,0.959,-5,1,0.0738,3.59e-06,0.000163,0.388,0.375,149.983,1.90812,4,8
Salem,DRACULADS,40,0.5,0.94,-3,0,0.158,0.00323,2.28e-05,0.206,0.444,174.978,1.37143,3,10
Nelson Freitas,Tellin Me Something,56,0.808,0.792,-5,1,0.113,0.0189,0.0115,0.0876,0.542,99.027,1.67876,4,9
SOJA,Walk Away,50,0.857,0.746,-5,0,0.03,0.0813,1.12e-05,0.284,0.813,112.008,2.31649,4,10
DYGL,Sink,44,0.654,0.472,-10,1,0.0266,0.709,0.0523,0.123,0.282,82.976,2.25106,4,10
North Mississippi Allstars,Bump that Mother,27,0.725,0.6,-9,1,0.0397,0.0718,0.000289,0.198,0.667,84.02,1.91933,4,2
Marina Maximilian,Easy Life,21,0.5,0.579,-9,0,0.0388,0.128,0.0219,0.096,0.236,100.019,2.094,4,9
Arlo Parks,Hurt,60,0.675,0.38,-9,0,0.0315,0.715,0.000201,0.174,0.7,94.92,2.16095,4,1
Guitar Tom and the High Cats,Favourite Song,36,0.5,0.974,-6,1,0.043,2.45e-05,0.00352,0.227,0.407,99.148,1.49053,4,10
Ronkini Gupta,Anjuman,22,0.563,0.542,-6,1,0.114,0.951,1.68e-05,0.0954,0.653,83.226,3.648866667e-05,4,0
Chappaqua Wrestling,The Rift,44,0.5,0.675,-4,1,0.0435,3.15e-05,0.000711,0.321,0.37,148.186,2.28853,4,10
Feeder,Feeling A Moment,51,0.5,0.66,-5,1,0.0394,0.0199,0.0127,0.266,0.198,166.68,2.4876,4,10
Wilkinson,Keep Dancing,59,0.553,0.893,-5,0,0.0545,0.0502,0.00145,0.145,0.138,174.019,2.2069,4,9
Gas Giant,Too Stoned,36,0.5,0.811,-4,1,0.0403,0.000119,0.0439,0.0984,0.164,148.019,3.71984,4,10
Mallory Knox,Ghost in the Mirror,38,0.5,0.989,-2,0,0.0815,0.000993,0.000273,0.376,0.416,173.938,2.1616,4,10
Aesthetic Perfection,S E X,46,0.572,0.838,-5,0,0.0394,0.000223,1.03e-05,0.252,0.345,107.004,2.20554,4,8
Winona Oak,Piano In The Sky,58,0.5,0.28,-11,0,0.0404,0.88,2.6e-06,0.102,0.0832,92.457,1.90253,4,9
Claire Rosinkranz,Frankenstein,60,0.826,0.745,-7,1,0.141,0.13,1.32e-05,0.178,0.883,119.92,2.02249,4,9
Dorothy,Who Do You Love,37,0.5,0.848,-4,1,0.0501,0.0429,0.000175,0.142,0.389,121.948,2.53613,4,8
Palma Violets,Best of Friends,44,0.5,0.88,-4,1,0.0505,8.54e-06,0.842,0.085,0.309,130.128,2.10067,4,6
Lake Haze,Dog Walking in the Park,48,0.805,0.775,-9,0,0.0365,0.707,0.9,0.11,0.715,134.999,2.33744,4,6
Witchcraft,Deconstruction,48,0.5,0.872,-6,0,0.0405,0.000119,0.0232,0.32,0.533,80.384,3.09987,4,8
Lake Street Dive,I Can Change,60,0.546,0.193,-12,1,0.0426,0.868,4.18e-05,0.087,0.311,139.795,1.91693,4,9
Garbage,Queer,44,0.553,0.621,-8,0,0.0274,0.00591,0.00247,0.347,0.425,95.055,2.76493,4,1
Gregory Alan Isakov,The Stable Song,65,0.625,0.432,-12,1,0.0283,0.633,0.00242,0.127,0.361,137.926,3.60933,4,9
Fit For A King,Breaking the Mirror,56,0.5,0.958,-5,0,0.112,3.95e-06,0.000225,0.0744,0.434,185.774,2.14211,4,8
Red Hot Chili Peppers,Parallel Universe,63,0.5,0.983,-3,0,0.212,0.00107,0.296,0.0708,0.186,124.536,2.6936,4,10
Pictish Trail,Dream Wall,27,0.5,0.287,-13,1,0.0291,0.856,0.00731,0.0966,0.0374,58.344,2.8104,4,6
Oakwood Station,Blue Spaces,51,0.5,0.157,-19,1,0.0657,0.922,0.687,0.117,0.262,191.828,3.055766667e-05,3,7
Bea Miller,FEEL SOMETHING DIFFERENT,62,0.78,0.715,-5,1,0.102,0.125,9.31e-06,0.218,0.365,125.015,2.07328,4,6
Great Peacock,Let You Go,32,0.616,0.616,-9,1,0.0282,0.00104,0.0806,0.178,0.598,117.997,2.86891,4,10
Eternal Void,Willow,18,0.5,0.989,-4,1,0.166,9.96e-06,0.387,0.086,0.102,120.069,2.51427,4,8
Slaves,Chokehold,41,0.609,0.88,-5,0,0.0676,0.00061,0.0182,0.0814,0.645,120.006,2.03547,4,1
Octo Octa,Find Your Way Home,47,0.788,0.871,-9,0,0.0471,0.0207,0.876,0.0677,0.534,127.999,4.97138,4,1
Red Hot Chili Peppers,Breaking the Girl,62,0.5,0.686,-13,0,0.0319,0.0233,0.00256,0.145,0.635,178.466,2.95373,3,10
Kushal Chokshi,Kaahe Kanha,30,0.593,0.857,-6,0,0.108,0.255,0.0035,0.205,0.448,124.842,2.632e-05,4,0
Cloud Nothings,The Spirit Of,31,0.5,0.945,-8,0,0.13,0.000312,0.0883,0.203,0.485,188.429,1.50629,4,10
Sugar High,Alone,35,0.5,0.43,-11,1,0.0252,0.446,0.322,0.126,0.058,77.951,1.82,4,6
Nirvana,About A Girl,71,0.5,0.932,-5,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761,1.6664,4,10
HILMA,After the Storm,43,0.5,0.0275,-28,0,0.0348,0.977,0.866,0.116,0.0894,81.322,2.9375e-05,4,7
The Pale White,Glue,38,0.5,0.887,-4,1,0.0525,0.00237,1.6e-05,0.197,0.622,176.054,2.17246,4,10
Anne Murray,Shadows In The Moonlight,39,0.63,0.689,-6,1,0.0253,0.00351,4.7e-05,0.103,0.422,104.683,3.49555e-05,4,4
TOOL,Schism,69,0.567,0.714,-9,0,0.0302,0.0012,0.417,0.186,0.191,107.441,4.03533,3,8
Dead Quiet,Of Sound and Fury,24,0.5,0.925,-8,1,0.0721,0.00305,0.0151,0.075,0.374,84.963,3.65684,4,8
Live,Lightning Crashes,67,0.5,0.433,-10,1,0.0435,0.241,7.07e-06,0.11,0.427,89.974,3.256,4,10
Onyx,Slam,62,0.876,0.71,-13,1,0.347,0.0654,0.00312,0.918,0.724,98.305,2.18333,4,5
Amy Allen,Difficult,43,0.768,0.523,-6,1,0.0374,0.343,7.56e-05,0.1,0.538,115.934,2.0032,4,6
Still Woozy,Goodie Bag,77,0.739,0.522,-13,0,0.151,0.821,0.00124,0.233,0.619,138.263,1.4639,4,9
The Rods,Let Them Eat Metal,43,0.626,0.721,-7,0,0.0305,0.0014,0.00575,0.203,0.493,116.414,2.3744,4,8
Helena Deland,Lylz,28,0.672,0.696,-8,1,0.034,0.547,0.629,0.175,0.455,112.762,1.83068,4,6
My Perfect End,River of Denial,27,0.5,0.992,-2,0,0.113,0.00035,0.0419,0.347,0.414,164.978,2.3108,4,8
Persona La Ave,GottasaythatIneedyou,30,0.679,0.684,-8,1,0.166,0.124,0.45,0.587,0.786,169.939,3.248,3,6
Arlo Parks,Hope,57,0.59,0.521,-9,0,0.0335,0.404,0.000101,0.357,0.423,99.165,2.70067,4,9
Bishop Gunn,Alabama,56,0.5,0.626,-9,1,0.0849,0.312,0.00243,0.121,0.296,75.007,2.14293,4,10
Tuns,In Another Life,27,0.537,0.828,-5,1,0.0451,0.057,0.000159,0.164,0.795,133.816,1.55594,4,10
Rabea Massaad,Brute Force,38,0.504,0.964,-9,1,0.13,2.53e-06,0.746,0.0728,0.224,125.03,1.50125,4,8
Hurts,Miracle,42,0.5,0.813,-4,0,0.0348,0.0114,3.94e-06,0.324,0.422,85.019,2.24973,4,10
Elder,Illusory Motion,42,0.5,0.619,-10,1,0.0314,0.0377,0.894,0.109,0.241,79.92,5.93387,4,10
Big Ups,Fear,24,0.5,0.41,-9,1,0.0435,0.0954,0.0902,0.284,0.232,126.682,2.8385,3,1
Josh Teskey,Hungry Heart,40,0.702,0.206,-11,1,0.0394,0.835,1.95e-05,0.0932,0.54,122.839,2.01302,4,10
Tash Sultana,Mystik,54,0.548,0.699,-8,0,0.0517,0.0223,0.000392,0.0903,0.308,132.798,2.49296,4,6
The Cure,A Night Like This,47,0.634,0.868,-7,0,0.0287,0.00867,0.00656,0.205,0.655,121.955,2.5632,4,10
Kembe X,Back At It,46,0.5,0.832,-6,1,0.19,0.208,2.02e-06,0.139,0.253,148.068,1.94605,4,5
Loud Luxury,Body,75,0.752,0.764,-5,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,1.63216,4,9
The Elovaters,Let It All Out,49,0.719,0.883,-6,1,0.0308,0.0469,0.000981,0.438,0.964,132.992,2.75244,4,10
Creedence Clearwater Revival,Fortunate Son,82,0.64,0.663,-8,1,0.0374,0.201,0.00806,0.152,0.663,132.77,1.40773,4,10
Pratik Tushar,Uncooked Blues,15,0.5,0.206,-18,1,0.0522,0.829,0.843,0.136,0.5,90.689,1.79003,4,6
Fruit Bats,Shane,53,0.678,0.789,-11,1,0.0277,0.00227,0.575,0.324,0.745,125.941,2.21326,4,6
Enslaved,Loke,30,0.5,0.995,-8,1,0.116,2.86e-06,0.88,0.771,0.0336,81.58,2.6192,4,8
Limp Bizkit,Break Stuff,74,0.5,0.884,-7,1,0.13,0.0127,0.000527,0.166,0.624,108.948,1.66707,4,10
Quicksand,Inversion,41,0.5,0.944,-3,0,0.0391,9.04e-06,1.09e-05,0.357,0.389,158.089,1.58333,4,6
Jonny Lang,Before You Hit The Ground,41,0.724,0.876,-6,0,0.0873,0.16,0.00278,0.116,0.812,92.169,2.34133,4,10
Broken Bells,After the Disco,53,0.729,0.74,-6,1,0.0258,0.00226,0.0305,0.13,0.966,115.984,2.19293,4,6
Fates Warning,Scars,25,0.547,0.922,-7,1,0.0986,0.00211,0.0275,0.112,0.31,121.978,3.04932,4,8
Bubba Sparxxx,Ugly,14,0.76,0.831,-6,1,0.164,0.265,8.12e-05,0.201,0.712,90.81,2.65227,4,5
Black Sabbath,The Wizard,53,0.523,0.706,-12,1,0.0935,0.0307,0.000274,0.337,0.407,99.684,2.6064,4,8
Gene Loves Jezebel,Break the Chain,42,0.664,0.815,-7,0,0.0306,0.0025,5.16e-05,0.604,0.594,118.451,2.884,4,10
Golden Earring,Twilight Zone,52,0.656,0.756,-7,0,0.0399,0.00785,3.49e-05,0.0927,0.542,118.56,4.78107,4,10
Survivor,High on You,55,0.659,0.714,-10,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,2.482,4,10
Morrissey,Back on the Chain Gang,53,0.5,0.841,-8,1,0.0342,8.01e-05,0.129,0.119,0.718,152.087,2.31,4,6
Cautious Clay,Cold War,68,0.654,0.47,-11,0,0.0586,0.274,0.249,0.103,0.462,77.083,2.02597,4,6
Eagles Of Death Metal,I Only Want You,45,0.547,0.945,-4,1,0.118,0.594,0.00141,0.102,0.902,173.862,1.6892,4,9
Lata Mangeshkar,Bhai Battur,12,0.5,0.467,-11,1,0.0545,0.969,0.00376,0.0843,0.735,131.746,4.707783333e-05,4,3
Martin Luke Brown,Opalite,41,0.728,0.664,-6,1,0.0438,0.00973,0.000515,0.37,0.105,104.021,2.11749,4,10
Deaf Wish,FFS,23,0.5,0.943,-8,1,0.0794,0.00198,0.561,0.381,0.125,78.566,1.33479,4,1
Jack Johnson,My Mind Is For Sale,63,0.83,0.682,-8,1,0.134,0.676,0.000367,0.123,0.762,97.849,2.3984,4,9
prettyboys,WINTER HOOKUP,36,0.786,0.46,-9,1,0.241,0.438,2.35e-05,0.114,0.413,139.981,1.74962,4,5
Sylvan Esso,Radio,55,0.557,0.895,-7,1,0.0329,0.642,0.0186,0.254,0.591,119.993,2.12333,4,6
Lala Lala,Destroyer,47,0.604,0.594,-7,1,0.0259,0.757,0.635,0.148,0.333,109.931,1.9255,4,1
Winnetka Bowling League,barcelona,57,0.549,0.86,-5,1,0.0498,0.017,4.26e-06,0.206,0.512,83.971,2.25413,4,9
Nirvana,Love Buzz,64,0.5,0.865,-9,0,0.0339,3.1e-05,0.228,0.182,0.77,137.902,2.15203,4,1
Kojey Radical,No Gangster,40,0.552,0.627,-9,1,0.344,0.448,0.00711,0.134,0.643,123.59,2.13947,5,5
Mukesh,Kahin Door Jab Din Dhal Jaye,36,0.524,0.423,-8,1,0.0348,0.852,1.04e-06,0.301,0.484,91.372,5.623116667e-05,4,3
Hannah Jadagu,Sundown,31,0.55,0.716,-6,1,0.0397,0.299,0.0396,0.141,0.202,110.027,2.16367,4,6
In Hearts Wake,Worldwide Suicide,42,0.5,0.997,-3,1,0.244,0.000329,0.0074,0.288,0.156,86.44,1.165,4,8
Mammoth WVH,Distance,50,0.5,0.962,-6,1,0.387,0.000495,0.654,0.384,0.418,177.045,2.52417,4,10
Skylar Spence,Kratos in Love,38,0.718,0.776,-8,0,0.0329,0.00338,0.369,0.239,0.677,127.006,1.70635,4,6
The New Mastersounds,Take What You Need,35,0.641,0.993,-4,1,0.0504,0.302,0.744,0.41,0.505,105.966,1.9116,4,10
Mike Zito,Death Row,39,0.714,0.596,-9,1,0.0288,0.511,0.00718,0.0593,0.665,141.496,2.47907,4,2
Held Down,Laura Marling,54,0.5,0.493,-8,1,0.0346,0.178,2.2e-06,0.353,0.412,79.712,4.132e-05,4,0
VAPERROR,Thickedge,35,0.5,0.751,-10,1,0.0554,0.451,0.863,0.11,0.295,180.675,1.96375,5,6
That Spell,Andrea von Kampen,35,0.836,0.335,-10,1,0.0325,0.749,0.0831,0.0884,0.479,128.939,3.391783333e-05,4,0
Major Murphy,In the Meantime,28,0.572,0.931,-6,1,0.0411,0.00103,0.000897,0.106,0.59,121.974,2.26583,4,6
Billy Adams,Rock Pretty Mama,28,0.5,0.683,-12,0,0.0904,0.691,2.45e-06,0.206,0.59,167.226,1.314,4,10
Marika Hackman,Realiti,32,0.5,0.295,-11,0,0.0305,0.873,0.00096,0.0978,0.166,99.622,1.86827,4,6
Rannar Sillard,Distant Glow,53,0.5,0.045,-23,1,0.0385,0.913,0.93,0.11,0.0513,74.677,2.1886e-05,4,7
Candlebox,Far Behind,66,0.552,0.645,-7,1,0.0268,0.00187,1.38e-06,0.0424,0.588,89.518,2.99733,4,10
Ghum,Saturn,37,0.5,0.701,-6,1,0.0297,0.00225,0.00516,0.115,0.416,91.601,2.32485,4,10
Reflections,Cicada,42,0.621,0.963,-5,1,0.133,0.00388,9.39e-05,0.444,0.101,95.041,1.81823,4,8
The Jungle Giants,Treat You Right,56,0.664,0.759,-5,0,0.0428,0.0169,0.0025,0.179,0.771,160.023,2.21466,4,6
Meaningful Stone,Footsteps,19,0.666,0.801,-7,1,0.0342,0.292,1.83e-06,0.0893,0.6,119.986,2.45199,4,10
The Verve,Lucky Man,65,0.5,0.663,-8,1,0.0305,0.255,0.000166,0.0913,0.211,75.989,2.93587,4,6
Lost Symphony,Conflagration,25,0.5,0.954,-6,0,0.172,0.000102,0.923,0.393,0.142,94.851,2.8166,3,8
Polyphia,LIT,46,0.54,0.789,-6,0,0.0382,0.00414,0.207,0.124,0.54,99.022,2.52464,4,8
Donny Hathaway,Little Ghetto Boy,41,0.535,0.509,-8,0,0.0562,0.729,3.59e-06,0.601,0.594,92.249,2.32093,4,5
We Three Trio,Skating,49,0.526,0.341,-18,0,0.036,0.886,0.921,0.0953,0.169,123.366,3.283333333e-05,3,7
Rostam,These Kids We Knew,46,0.675,0.649,-9,1,0.0562,0.334,0.0655,0.11,0.496,148,1.48267,4,6
Trash Boat,Silence Is Golden,55,0.5,0.908,-5,0,0.0756,0.00893,2.82e-06,0.366,0.459,99.993,2.04745,4,6
Freak Kitchen,Raw,40,0.536,0.796,-10,0,0.034,0.00297,0.12,0.0559,0.696,95.902,2.5864,4,8
Thomas Rhett,Unforgettable,69,0.661,0.75,-6,1,0.0314,0.0303,0.000132,0.0849,0.828,130.077,2.618e-05,4,4
DUSTY LOCANE,MOVE DOLEY,61,0.792,0.676,-9,1,0.344,0.208,1.65e-06,0.103,0.68,143.877,2.00078,4,5
The Order,Supreme Hypocrisy,27,0.548,0.967,-5,1,0.0381,0.00012,0.0744,0.0636,0.365,102.968,2.35733,4,8
Paris Green,Redrum,23,0.616,0.784,-9,0,0.0366,6.57e-05,0.902,0.0717,0.368,121.999,3.52636,4,1
George Clanton,Driving in My Car,43,0.597,0.678,-7,1,0.0261,0.0278,0.882,0.117,0.646,97.003,2.1794,4,9
Surfing,Lifetime,40,0.523,0.923,-8,0,0.0329,0.00152,0.878,0.353,0.796,94.012,2.03387,4,6
Elm Tree Circle,Feel the Burn,18,0.5,0.899,-5,1,0.0657,2.99e-05,0.000158,0.0367,0.524,139.922,1.72458,4,10
Joanne Shaw Taylor,Here Comes the Flood,31,0.5,0.951,-5,0,0.0843,0.000299,0.579,0.351,0.655,182.737,3.15178,4,2
Nick Mulvey,Moment Of Surrender,54,0.61,0.662,-10,1,0.0402,0.57,0.00846,0.13,0.527,104.122,2.9918,4,1
Verzache,The Loser,73,0.748,0.297,-11,1,0.132,0.485,0.27,0.138,0.114,123.983,1.31587,4,6
Gugun Power Trio,Vixen Eyes,35,0.687,0.853,-8,1,0.0567,0.0801,0.00171,0.109,0.918,110.051,2.5668,4,2
Phat Phunktion,Well Run Dry,40,0.71,0.914,-4,1,0.0749,0.0602,0.00377,0.165,0.742,125.039,2.4484,4,2
Slikback,Quoios,16,0.593,0.835,-10,0,0.0781,0.0297,0.844,0.127,0.0616,130.044,2.18233,4,6
Elina Filice,Thinking of You,43,0.674,0.597,-10,1,0.236,0.587,3.93e-06,0.0935,0.347,99.854,2.6075,4,1
Demob Happy,Mother Machine,35,0.5,0.677,-9,1,0.0888,0.00416,0.00297,0.088,0.344,129.397,2.16239,4,10
Movulango,Leave,31,0.744,0.481,-9,1,0.0393,0.0121,0.0498,0.0722,0.702,112.008,1.71013,4,6
Kansas,Carry on Wayward Son,76,0.5,0.786,-6,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,3.23,4,10
Lofofora,La surface,11,0.529,0.908,-6,1,0.0732,0.000285,0.000445,0.113,0.582,146.055,2.55107,4,10
Carlton Maison Quartet,Time After Time,58,0.5,0.14,-14,1,0.0385,0.975,0.0893,0.0993,0.28,78.842,3.614233333e-05,4,7
MICHELLE,SUNRISE,53,0.787,0.422,-9,1,0.0569,0.287,0.111,0.3,0.607,87.018,1.76667,4,6
Deftones,Do You Believe,40,0.5,0.918,-8,1,0.0657,1.53e-05,0.0567,0.342,0.528,182.868,2.08493,4,8
The Smashing Pumpkins,Bullet With Butterfly Wings,73,0.5,0.72,-10,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,2.58467,4,10
The Wrecks,Fvck Somebody,54,0.533,0.661,-6,0,0.0418,0.0239,2.45e-06,0.347,0.603,142.079,1.81013,4,1
Leon Bridges,Motorbike,68,0.721,0.485,-12,0,0.0681,0.158,0.275,0.107,0.614,150.027,1.88617,4,9
Amaarae,JUMPING SHIP,52,0.758,0.601,-8,0,0.141,0.151,0.00809,0.169,0.575,126.03,2.01637,4,9
Ash,Shining Light,50,0.5,0.934,-4,1,0.0452,1.55e-05,0.00204,0.108,0.526,106.616,3.09013,4,10
Gong,My Sawtooth Wake,23,0.546,0.784,-9,1,0.043,0.00175,0.146,0.0912,0.256,120.057,7.95013,4,10
Local Boy,Horizon,39,0.722,0.462,-12,0,0.141,0.143,2.44e-06,0.528,0.743,158.074,2.2481,4,6
Shrezzers,Demure,44,0.5,0.94,-4,0,0.151,0.000727,0.000226,0.093,0.318,199.918,2.523,4,10
Foxy Brown,Oh Yeah,52,0.618,0.691,-8,0,0.308,0.00452,3.17e-06,0.0614,0.762,170.446,2.60827,4,5
Britney Spears,Gasoline,42,0.757,0.733,-5,1,0.0511,0.178,4.47e-06,0.101,0.552,119.984,3.14045e-05,4,9
Faye Webster,Better Distractions,52,0.707,0.513,-10,1,0.0242,0.063,0.0222,0.0916,0.574,96.345,2.49985,4,6
my bloody valentine,only shallow,59,0.5,0.641,-11,1,0.0422,0.000243,0.837,0.108,0.352,170.207,2.56573,4,6
COIN,Sprite,57,0.563,0.691,-9,1,0.0357,0.0129,0.000404,0.0744,0.425,157.034,1.90813,4,6
Joshua Burnside,Under the Concrete,46,0.5,0.392,-10,0,0.0585,0.705,7.33e-06,0.174,0.3,98.667,2.05876,3,1
Mirrors,Damien,37,0.5,0.979,-3,0,0.198,0.00537,8.55e-06,0.17,0.0833,111.998,2.59286,4,8
Wolfheart,The Hammer,19,0.5,0.946,-7,1,0.0804,7.72e-05,0.793,0.108,0.0453,104.978,3.68696,4,8
Rosie Flores,If There Was a Way,31,0.5,0.496,-7,0,0.0307,0.382,0.000244,0.099,0.491,178.57,2.65867,3,2
Villagers,A Trick of the Light,61,0.563,0.606,-9,1,0.0267,0.513,0.0391,0.132,0.425,150,2.48253,4,1
Preston Shannon,Baby I Will,10,0.744,0.496,-11,0,0.0265,0.438,2.22e-05,0.0375,0.961,87.95,2.69,4,2
Bleed From Within,The End of All We Know,53,0.5,0.959,-6,0,0.107,0.000505,0.00012,0.328,0.336,149.406,2.51512,3,8
Inhaler,When It Breaks,54,0.5,0.964,-7,0,0.0901,0.000453,0.00268,0.191,0.206,146.048,2.20587,4,10
Chris Marshall,Tun Up,42,0.745,0.828,-5,0,0.0594,0.214,7.25e-05,0.0667,0.853,94.913,2.26867,4,9
Friedberg,Lizzy,40,0.5,0.817,-6,1,0.0457,0.000255,0.0922,0.136,0.48,130.978,2.30127,4,6
Alabama Shakes,Hold On,59,0.575,0.666,-6,1,0.0301,0.206,0.341,0.0852,0.546,88.311,2.26187,4,9
Skid Row,Slave to the Grind,1,0.5,0.977,-8,1,0.105,6.8e-06,0.355,0.242,0.307,133.173,2.08667,4,8
Attila,Clarity,57,0.5,0.993,-3,1,0.292,3.45e-05,0.0308,0.451,0.217,160.029,2.11875,4,10
Bad Habits,Let It Roll,31,0.524,0.977,-3,1,0.0874,0.000462,1.5e-06,0.26,0.415,102.525,1.54531,4,8
Humbear,Take Your Time,43,0.5,0.484,-13,1,0.0397,0.152,1.13e-05,0.151,0.509,123.578,3.40898333e-05,4,0
We Are Scientists,The Great Escape,46,0.5,0.925,-5,1,0.0415,0.000305,4.44e-06,0.0755,0.746,146.97,1.98833,4,6
Thornhill,Reptile,39,0.5,0.985,-3,0,0.211,6.36e-05,0.0101,0.378,0.258,125.06,2.2416,4,8
Patti Smith,Free Money,45,0.5,0.718,-8,0,0.0918,0.0585,3.49e-05,0.157,0.452,77.772,2.3204,4,1
The Glorious Sons,Closer To The Sky,49,0.629,0.881,-5,1,0.0731,0.003,0.00716,0.109,0.454,93.933,2.0636,4,10
Accept,The Best Is yet to Come,46,0.5,0.647,-8,0,0.032,0.00281,1.77e-05,0.111,0.508,167.973,2.87467,4,8
Tender Organs,Amythyst Kiah,40,0.5,0.519,-8,0,0.0354,0.508,4e-05,0.0842,0.337,135.018,4.753333333e-05,4,0
Blur,The Universal,54,0.5,0.571,-8,1,0.0283,0.158,2.95e-06,0.0848,0.234,163.036,2.4012,3,6
Katy Kirby,Juniper,44,0.695,0.535,-10,1,0.0302,0.535,1.26e-05,0.238,0.811,116.03,1.59453,4,1
Grizfolk,The Ripple,47,0.589,0.781,-7,0,0.0243,0.00378,0.000745,0.0772,0.687,102.047,2.04442,4,10
Gin Wigmore,Man Like That,40,0.607,0.885,-4,1,0.0763,0.00091,0.00391,0.558,0.539,103.047,1.70467,4,9
Tyler Lawlor,St Martin,45,0.5,0.161,-15,1,0.045,0.989,0.945,0.12,0.322,127.806,2.779916667e-05,3,7
Sir Sly,Loverboy,44,0.669,0.786,-7,1,0.0871,0.306,0.0596,0.383,0.738,88.997,1.63813,4,9
Bryan Adams,Cuts Like A Knife,35,0.5,0.462,-18,1,0.0262,0.0199,4.48e-06,0.584,0.588,95.99,5.3e-05,4,10
Inhaler,Fade Into You,56,0.5,0.362,-11,1,0.0262,0.29,0.00529,0.128,0.257,140.031,3.15491,3,10
Buddy Whittington,Pay the Band,32,0.692,0.791,-5,1,0.0494,0.155,1.46e-06,0.239,0.41,118.14,2.73427,4,2
Anthrax,Madhouse,61,0.5,0.885,-11,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,2.5976,4,8
Sipper,Cure,22,0.615,0.527,-9,1,0.0308,0.16,0.921,0.142,0.503,144.937,1.59125,4,9
All Them Witches,Fishbelly 86 Onions,35,0.5,0.839,-8,0,0.0845,0.0205,0.0792,0.0935,0.481,72.236,3.62227,4,10
There,Swimming Backwards,27,0.68,0.596,-9,1,0.031,0.522,0.889,0.111,0.124,120.953,2.22378,4,1
The Rolling Stones,Street Fighting Man,57,0.583,0.855,-8,1,0.0333,0.1,0.0177,0.262,0.69,128.178,1.95147,4,10
Evergrey,Where August Mourns,42,0.5,0.963,-6,1,0.1,3.05e-05,0.000815,0.146,0.305,200.317,3.31907,4,8
Foo Fighters,Run,61,0.5,0.892,-9,0,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,3.23373,4,10
Momma,Biohazard,40,0.565,0.769,-8,0,0.0594,0.0135,0.794,0.171,0.464,124.069,1.4592,4,10
Ratt,Lay It Down,60,0.5,0.759,-14,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,2.0556,4,8
21 Savage,Spiral,63,0.814,0.659,-5,1,0.0829,0.00155,0.0251,0.568,0.13,88.506,1.71527,4,5
Kasabian,Fire,66,0.525,0.742,-6,1,0.0311,0.0874,0.149,0.117,0.179,117.029,2.5228,4,1
Mark Roswell Trio,It Might As Well Be Spring,60,0.5,0.169,-19,0,0.0373,0.956,0.951,0.121,0.114,171.169,4.597333333e-05,3,7
Jaded Heart,Reap What You Sow,24,0.5,0.934,-8,1,0.0764,2.63e-05,0.0116,0.332,0.441,169.93,1.86093,4,8
Grouplove,Deleter,60,0.5,0.991,-4,1,0.124,3.81e-06,0.0466,0.13,0.446,159.998,2.34387,4,10
